         2037790 function calls (2019726 primitive calls) in 2.383 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:198(_ParameterKind)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_double)
        2    0.000    0.000    0.000    0.000 __init__.py:199(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:199(__new__)
       13    0.005    0.000    0.608    0.047 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:20(emit)
       57    0.000    0.000    0.006    0.000 __init__.py:20(find_commands)
  267/201    0.002    0.000    1.399    0.007 __init__.py:20(import_module)
        3    0.000    0.000    0.000    0.000 __init__.py:2008(register_namespace_handler)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_longdouble)
       33    0.000    0.000    0.003    0.000 __init__.py:2025(_handle_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:2026(NullBooleanField)
      149    0.000    0.000    0.003    0.000 __init__.py:205(_acquireLock)
        1    0.000    0.000    0.001    0.001 __init__.py:2070(declare_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:2090(PositiveIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:2102(PositiveSmallIntegerField)
      154    0.000    0.000    0.002    0.000 __init__.py:2102(fixup_namespace_packages)
        1    0.000    0.000    0.000    0.000 __init__.py:2114(SlugField)
        7    0.000    0.000    0.000    0.000 __init__.py:2118(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:212(_declare_state)
       10    0.000    0.000    0.001    0.000 __init__.py:2138(normalize_path)
      149    0.000    0.000    0.001    0.000 __init__.py:214(_releaseLock)
     1560    0.000    0.000    0.001    0.000 __init__.py:2142(_normalize_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:2144(SmallIntegerField)
       20    0.000    0.000    0.000    0.000 __init__.py:2149(_is_unpacked_egg)
        1    0.000    0.000    0.000    0.000 __init__.py:2151(TextField)
        1    0.000    0.000    0.000    0.000 __init__.py:216(SchemaChangeType)
        1    0.000    0.000    0.000    0.000 __init__.py:216(_MagicFormatMapping)
1938/1159    0.003    0.000    0.012    0.000 __init__.py:2165(yield_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:2172(TimeField)
        1    0.000    0.000    0.000    0.000 __init__.py:218(Parameter)
        2    0.000    0.000    0.000    0.000 __init__.py:2182(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:2193(EntryPoint)
      123    0.001    0.000    0.107    0.001 __init__.py:2196(__init__)
     2310    0.003    0.000    0.004    0.000 __init__.py:22(find_module)
        1    0.000    0.000    0.000    0.000 __init__.py:22(load_settings)
        1    0.000    0.000    0.000    0.000 __init__.py:222(SchemaTargetType)
        1    0.000    0.000    0.000    0.000 __init__.py:223(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:225(LogRecord)
      123    0.001    0.000    0.110    0.001 __init__.py:2257(parse)
        1    0.000    0.000    0.000    0.000 __init__.py:227(ModificationDateTimeField)
      123    0.000    0.000    0.001    0.000 __init__.py:2277(_parse_extras)
       45    0.000    0.000    0.112    0.002 __init__.py:2286(parse_group)
      154    0.000    0.000    0.120    0.001 __init__.py:2299(parse_map)
        1    0.000    0.000    0.000    0.000 __init__.py:23(<module>)
